	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
st093q03ta_binary_pv_scie	0.996***	0.996***	0.993***	0.992***	0.995***	0.995***	0.991***	0.996***	0.990***	0.992***	0.994***	0.994***	0.996***	0.990***	0.996***	0.998***	0.994***	0.997***	0.994***	0.998***	0.996***	0.996***	0.997***	0.996***	0.996***	0.997***	0.997***	0.995***	0.997***	0.995***	0.998***	0.991***	0.994***	0.996***	0.996***	0.996***	0.990***	0.997***	0.996***	0.995***	0.999***	0.996***	0.993***	0.998***	0.996***	0.996***	0.996***	0.997***	0.991***	0.991***	0.996***	0.996***	0.991***	0.999***	0.996***
	(0.000344)	(0.000677)	(0.000502)	(0.000419)	(0.000416)	(0.000449)	(0.000627)	(0.000424)	(0.000694)	(0.000685)	(0.000620)	(0.000674)	(0.000834)	(0.000906)	(0.000413)	(0.000520)	(0.000631)	(0.000681)	(0.000520)	(0.000545)	(0.000499)	(0.000845)	(0.000482)	(0.000448)	(0.000503)	(0.000380)	(0.000322)	(0.000677)	(0.000482)	(0.000631)	(0.000449)	(0.000729)	(0.000458)	(0.000527)	(0.000632)	(0.000528)	(0.000710)	(0.000448)	(0.000448)	(0.000268)	(0.000494)	(0.000571)	(0.000488)	(0.000578)	(0.000524)	(0.000820)	(0.000435)	(0.000263)	(0.000896)	(0.000762)	(0.000593)	(0.000467)	(0.000570)	(0.000349)	(0.000296)
st093q03ta_binary_urban_du_y	1.038***	1.123***	1.045***	0.934***	1.007***	1.053***	0.955***	0.885***	0.952***	0.902***	1.012***	0.793***	0.980***	0.840***	1.016***	0.860***	1.087***	1.021***	0.865***		0.916***	0.768***	0.876***	0.939***	0.983***	1.187***	1.056***	1.320***	1.214***	0.983***	0.863*	1.124***	1.121***	0.740***	1.068***	1.158***	1.140***	0.977***	0.968***	0.946***	0.880***		0.781***	1.240***	0.970***	0.935***	0.830***	0.721***	1.006***	0.949***	1.296***	1.107***	1.028***	0.826***	0.970***
	(0.0945)	(0.153)	(0.0986)	(0.0617)	(0.0827)	(0.0908)	(0.114)	(0.0643)	(0.0795)	(0.114)	(0.0810)	(0.126)	(0.204)	(0.0806)	(0.0876)	(0.0774)	(0.130)	(0.162)	(0.0720)		(0.0835)	(0.101)	(0.0838)	(0.0865)	(0.112)	(0.111)	(0.0836)	(0.183)	(0.0897)	(0.0985)	(0.486)	(0.136)	(0.0700)	(0.0743)	(0.140)	(0.102)	(0.131)	(0.0883)	(0.0922)	(0.0398)	(0.0672)		(0.141)	(0.156)	(0.0808)	(0.138)	(0.0946)	(0.0436)	(0.0991)	(0.102)	(0.161)	(0.111)	(0.0899)	(0.0604)	(0.0532)
st093q03ta_binary__cons	0.745***	0.671***	3.378***	8.630***	2.924***	1.160***	8.020***	1.343***	20.84***	6.485***	2.531***	1.807***	0.812**	18.74***	2.757***	0.427***	1.910***	0.544***	3.318***	0.697***	1.295***	0.619**	0.672***	1.835***	1.204***	0.990***	1.020***	1.699***	0.706***	1.160***	1.340*	6.488***	4.001***	2.755***	0.866***	1.466***	12.23***	1.270***	1.756***	3.967***	0.747***	1.122***	3.881***	0.308***	1.355***	0.755**	2.432***	2.508***	8.092***	6.644***	0.886***	1.486***	9.828***	1.245***	1.670***
	(0.128)	(0.220)	(0.823)	(1.383)	(0.583)	(0.261)	(2.184)	(0.285)	(5.896)	(1.900)	(0.741)	(0.592)	(0.345)	(5.877)	(0.626)	(0.118)	(0.593)	(0.203)	(0.757)	(0.190)	(0.306)	(0.246)	(0.168)	(0.395)	(0.305)	(0.209)	(0.176)	(0.561)	(0.170)	(0.323)	(0.721)	(2.005)	(0.757)	(0.817)	(0.271)	(0.377)	(3.519)	(0.275)	(0.381)	(0.437)	(0.181)	(0.374)	(0.853)	(0.0966)	(0.369)	(0.310)	(0.436)	(0.290)	(2.967)	(1.967)	(0.264)	(0.344)	(2.407)	(0.208)	(0.242)
o.st093q03ta_binary_urban_du_y																				0																						0													
																				(0)																						(0)													
																																																							
Observations	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Standard errors in parentheses																																																							
*** p<0.01, ** p<0.05, * p<0.1																																																							
