country name,countryid,coef not urban,SE not urban,coef urban,se urban,diff,se diff,p-value,year,Urban significantly better,Urban significantly worse,No signficant difference
NOR,578,495.8923694,2.493376194,510.0840495,5.464820914,14.19168014,6.110569544,0.020207064,2015,TRUE,FALSE,FALSE
PAN,591,,,,,,,,2015,N/A,N/A,N/A
PER,604,392.1812801,2.861986057,424.6351465,7.859716121,32.45386642,8.871362326,0.00025392,2015,TRUE,FALSE,FALSE
POL,616,492.4329707,3.004447934,526.3370497,5.749632954,33.90407901,6.545431563,2.22114E-07,2015,TRUE,FALSE,FALSE
PRT,620,493.6058719,2.806650767,528.4635393,6.108183149,34.85766733,7.068622427,8.16741E-07,2015,TRUE,FALSE,FALSE
QUD,630,,,,,,,,2015,N/A,N/A,N/A
QAT,634,397.5641906,1.34992955,437.5681614,1.301305808,40.00397076,1.739671817,5.2154E-117,2015,TRUE,FALSE,FALSE
ROU,642,423.9217136,3.652672346,460.2328481,6.816474393,36.31113451,8.254024834,1.08649E-05,2015,TRUE,FALSE,FALSE
RUS,643,470.9071927,3.264572887,501.9909381,3.835381457,31.08374539,4.318250457,6.10007E-13,2015,TRUE,FALSE,FALSE
SRB,688,,,,,,,,2015,N/A,N/A,N/A
SGP,702,0,,556.1942922,1.338482834,0,,,2015,N/A,N/A,N/A
SVK,703,454.8953155,2.484281978,502.4184942,9.05693111,47.52317865,9.071123708,1.61491E-07,2015,TRUE,FALSE,FALSE
VNM,704,514.6241928,3.839082968,553.3404289,9.465578778,38.71623609,9.775183717,7.47411E-05,2015,TRUE,FALSE,FALSE
SVN,705,509.3311915,1.394883095,525.810191,3.267505808,16.47899952,3.456910057,1.87014E-06,2015,TRUE,FALSE,FALSE
ESP,724,488.966319,2.418512733,500.3085493,4.569209075,11.34223026,5.282518858,0.031783302,2015,TRUE,FALSE,FALSE
SWE,752,,,,,,,,2015,N/A,N/A,N/A
CHE,756,500.9180199,3.983235534,519.1844495,8.424539742,18.26642956,10.18777592,0.07297689,2015,FALSE,FALSE,TRUE
THA,764,413.9788572,3.221614485,451.649985,7.319247225,37.67112778,8.278566842,5.35337E-06,2015,TRUE,FALSE,FALSE
TTO,780,422.5056607,1.576987195,0,,0,,,2015,N/A,N/A,N/A
ARE,784,406.9040603,5.68781301,453.9352857,3.547876718,47.03122539,7.054716324,2.61733E-11,2015,TRUE,FALSE,FALSE
TUN,788,377.9674068,2.948896708,406.7534185,6.95075667,28.7860117,7.906062957,0.000271576,2015,TRUE,FALSE,FALSE
TUR,792,419.471035,8.621813349,429.7206665,4.431190889,10.24963143,10.24816631,0.317241327,2015,FALSE,FALSE,TRUE
MKD,807,378.6835362,1.746639934,383.0614598,1.858764932,4.377923521,2.542662257,0.08510806,2015,FALSE,FALSE,TRUE
GBR,826,517.0678164,3.348387621,489.0061097,7.360953596,-28.06170669,8.340867343,0.000767205,2015,FALSE,TRUE,FALSE
USA,840,505.4769624,3.33440163,482.4555454,6.893038841,-23.02141703,8.219503022,0.005097162,2015,FALSE,TRUE,FALSE
URY,858,423.5864965,2.97564096,453.5342771,5.007044761,29.94778055,6.334335137,2.26911E-06,2015,TRUE,FALSE,FALSE
QVE,862,,,,,,,,2015,N/A,N/A,N/A
QCH,970,492.1353134,6.962765323,565.0715392,6.943399727,72.93622577,10.42545726,2.63423E-12,2015,TRUE,FALSE,FALSE
QES,971,490.0651581,1.567153849,502.7917808,3.049597151,12.72662274,3.665048568,0.00051577,2015,TRUE,FALSE,FALSE
QUC,972,,,,,,,,2015,N/A,N/A,N/A
QUE,973,,,,,,,,2015,N/A,N/A,N/A
