	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
pv_scie	-0.000357***	-0.000321***	-0.000611***	-0.00133***	-0.000875***	-0.000417***	-0.000938***	-0.000491***	-0.00160***	-0.00119***	-0.000617***	-0.000440***	-0.000339***	-0.00204***	-0.000739***	-0.000219***	-0.000465***	-0.000270***	-0.000840***	-0.000338***	-0.000538***	-0.000309***	-0.000329***	-0.000663***	-0.000511***	-0.000454***	-0.000452***	-0.000583***	-0.000390***	-0.000412***	-0.000449***	-0.00107***	-0.00109***	-0.000728***	-0.000368***	-0.000562***	-0.00147***	-0.000514***	-0.000624***	-0.00101***	-0.000222**	-0.000422***	-0.000841***	-0.000172***	-0.000546***	-0.000322***	-0.000807***	-0.000678***	-0.00138***	-0.000989***	-0.000400***	-0.000566***	-0.00121***	-0.000235***	-0.000609***
	(3.49e-05)	(5.79e-05)	(4.73e-05)	(6.20e-05)	(7.81e-05)	(4.42e-05)	(7.17e-05)	(5.76e-05)	(9.84e-05)	(0.000103)	(5.76e-05)	(4.99e-05)	(6.50e-05)	(0.000161)	(7.52e-05)	(5.64e-05)	(4.83e-05)	(5.59e-05)	(6.94e-05)	(7.69e-05)	(7.36e-05)	(7.13e-05)	(6.41e-05)	(7.11e-05)	(6.54e-05)	(5.39e-05)	(5.41e-05)	(7.42e-05)	(6.00e-05)	(5.23e-05)	(8.47e-05)	(9.08e-05)	(8.11e-05)	(9.31e-05)	(5.74e-05)	(7.29e-05)	(0.000102)	(6.90e-05)	(7.50e-05)	(5.22e-05)	(0.000102)	(6.92e-05)	(6.32e-05)	(6.50e-05)	(7.98e-05)	(6.45e-05)	(8.63e-05)	(5.41e-05)	(0.000133)	(8.08e-05)	(5.94e-05)	(6.02e-05)	(7.17e-05)	(8.37e-05)	(4.41e-05)
urban_dummy	0.00402	0.0100	0.00635	-0.0102	0.00188	0.00491	-0.00640	-0.0162	-0.00900	-0.0165	0.00126	-0.0148	-0.000601	-0.0328	0.00361	-0.0155*	0.00687	0.00195	-0.0194*		-0.0128	-0.0210**	-0.0164	-0.0108	-0.00214	0.0235*	0.00900	0.0313**	0.0248***	-0.00131	-0.0320	0.0128	0.0228*	-0.0461***	0.00652	0.0207*	0.0188	-0.00338	-0.00505	-0.0110	-0.0263*		-0.0246	0.0249*	-0.00426	-0.00388	-0.0367	-0.0734***	0.00479	-0.00956	0.0292**	0.0150	0.00714	-0.0458***	-0.00411
	(0.00907)	(0.0109)	(0.00902)	(0.0115)	(0.0151)	(0.00791)	(0.0126)	(0.00999)	(0.0139)	(0.0195)	(0.00763)	(0.00938)	(0.0157)	(0.0204)	(0.0153)	(0.00913)	(0.00828)	(0.0126)	(0.0104)		(0.0129)	(0.0106)	(0.0118)	(0.0154)	(0.0138)	(0.0124)	(0.0127)	(0.0160)	(0.00942)	(0.00791)	(0.111)	(0.0146)	(0.0122)	(0.0152)	(0.0123)	(0.0123)	(0.0170)	(0.0140)	(0.0153)	(0.00909)	(0.0156)		(0.0172)	(0.0149)	(0.0125)	(0.0104)	(0.0227)	(0.0137)	(0.0158)	(0.0124)	(0.0144)	(0.0144)	(0.0126)	(0.0174)	(0.00812)
o.urban_dummy																				-																						-													
																																																							
Constant	0.293***	0.243***	0.409***	0.802***	0.668***	0.322***	0.554***	0.431***	0.907***	0.713***	0.409***	0.305***	0.260***	1.107***	0.640***	0.245***	0.312***	0.229***	0.564***	0.345***	0.442***	0.251***	0.325***	0.540***	0.400***	0.394***	0.438***	0.411***	0.327***	0.295***	0.513***	0.590***	0.732***	0.608***	0.293***	0.448***	0.818***	0.462***	0.536***	0.776***	0.414***	0.360***	0.556***	0.212***	0.462***	0.247***	0.665***	0.685***	0.764***	0.571***	0.318***	0.447***	0.729***	0.551***	0.494***
	(0.0189)	(0.0297)	(0.0260)	(0.0265)	(0.0384)	(0.0244)	(0.0358)	(0.0301)	(0.0452)	(0.0461)	(0.0292)	(0.0269)	(0.0347)	(0.0564)	(0.0428)	(0.0299)	(0.0262)	(0.0317)	(0.0339)	(0.0405)	(0.0380)	(0.0348)	(0.0340)	(0.0376)	(0.0352)	(0.0309)	(0.0294)	(0.0391)	(0.0301)	(0.0267)	(0.112)	(0.0421)	(0.0355)	(0.0540)	(0.0308)	(0.0385)	(0.0426)	(0.0350)	(0.0386)	(0.0225)	(0.0494)	(0.0413)	(0.0322)	(0.0352)	(0.0411)	(0.0348)	(0.0369)	(0.0245)	(0.0549)	(0.0375)	(0.0319)	(0.0320)	(0.0342)	(0.0399)	(0.0227)
