	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
st093q08na_binary_pv_scie	1.001***	1.000***	0.993***	0.999***	0.996***	0.999***	0.999***	1.001***	0.999***	0.998***	0.995***	0.993***	0.993***	0.994***	0.998***	0.996***	0.996***	1.000***	0.997***	1.001***	0.998***	0.994***	1.001***	0.999***	1.001***	1.001***	1.001***	0.996***	1.000***	1.000***	1.003***	0.999***	0.995***	1.002***	1.000***	1.000***	0.997***	0.999***	0.999***	0.998***	0.999***	1.002***	0.999***	1.000***	1.003***	0.999***	1.003***	0.999***	0.994***	0.993***	1.001***	0.999***	0.998***	1.002***	1.003***
	(0.000309)	(0.000498)	(0.000440)	(0.000434)	(0.000406)	(0.000383)	(0.000738)	(0.000328)	(0.000511)	(0.000578)	(0.000608)	(0.000691)	(0.000722)	(0.000728)	(0.000446)	(0.000573)	(0.000569)	(0.000669)	(0.000465)	(0.000507)	(0.000523)	(0.00101)	(0.000367)	(0.000385)	(0.000428)	(0.000323)	(0.000303)	(0.000527)	(0.000444)	(0.000492)	(0.000403)	(0.000684)	(0.000460)	(0.000638)	(0.000516)	(0.000430)	(0.000583)	(0.000441)	(0.000397)	(0.000242)	(0.000514)	(0.000379)	(0.000461)	(0.000449)	(0.000376)	(0.000582)	(0.000449)	(0.000279)	(0.000788)	(0.000644)	(0.000365)	(0.000443)	(0.000583)	(0.000312)	(0.000259)
st093q08na_binary_urban_du_y	1.203***	1.055***	1.174***	1.084***	0.909***	1.015***	0.846***	1.127***	0.946***	0.818***	1.028***	0.760***	0.917***	0.883***	0.914***	0.928***	1.030***	0.949***	0.881***		1.064***	0.957***	1.054***	0.982***	1.181***	1.065***	1.051***	1.152***	1.077***	0.973***	1.039**	1.158***	1.242***	1.065***	1.218***	1.093***	0.949***	1.047***	0.965***	0.975***	0.928***		0.921***	1.247***	1.096***	1.248***	0.943***	0.857***	0.981***	0.885***	1.060***	1.046***	1.222***	0.830***	1.117***
	(0.0852)	(0.114)	(0.0963)	(0.0662)	(0.0718)	(0.0830)	(0.0897)	(0.0669)	(0.0714)	(0.0951)	(0.0860)	(0.0886)	(0.189)	(0.0942)	(0.0652)	(0.0974)	(0.102)	(0.130)	(0.0735)		(0.0965)	(0.133)	(0.0876)	(0.0686)	(0.0896)	(0.0675)	(0.115)	(0.122)	(0.0900)	(0.0882)	(0.470)	(0.113)	(0.0843)	(0.129)	(0.114)	(0.114)	(0.0963)	(0.0907)	(0.0977)	(0.0380)	(0.0697)		(0.142)	(0.122)	(0.0776)	(0.153)	(0.0710)	(0.0463)	(0.0878)	(0.0656)	(0.0775)	(0.0822)	(0.104)	(0.0591)	(0.0474)
st093q08na_binary__cons	0.127***	0.173***	4.670***	0.672***	1.845***	0.270***	0.312***	0.221***	0.666***	0.559***	1.506***	3.273***	3.804***	5.117***	0.940***	0.762***	0.888***	0.155***	0.992***	0.188***	0.551***	1.180**	0.238***	0.746***	0.204***	0.341***	0.393***	1.370***	0.251***	0.192***	0.190**	0.326***	2.274***	0.115***	0.189***	0.287***	0.866***	0.521***	0.529***	1.302***	0.700***	0.116***	0.489***	0.303***	0.0888***	0.287***	0.338***	0.959***	3.215***	3.530***	0.221***	0.432***	0.775***	0.474***	0.101***
	(0.0206)	(0.0446)	(1.110)	(0.121)	(0.321)	(0.0557)	(0.105)	(0.0392)	(0.128)	(0.144)	(0.423)	(1.124)	(1.355)	(1.330)	(0.229)	(0.227)	(0.246)	(0.0567)	(0.226)	(0.0493)	(0.145)	(0.565)	(0.0459)	(0.146)	(0.0445)	(0.0610)	(0.0683)	(0.344)	(0.0534)	(0.0456)	(0.0922)	(0.0964)	(0.432)	(0.0404)	(0.0548)	(0.0621)	(0.210)	(0.115)	(0.101)	(0.129)	(0.185)	(0.0255)	(0.110)	(0.0706)	(0.0164)	(0.0921)	(0.0647)	(0.117)	(0.995)	(0.994)	(0.0439)	(0.0986)	(0.198)	(0.0759)	(0.0132)
o.st093q08na_binary_urban_du_y																				0																						0													
																				(0)																						(0)													
																																																							
Observations	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Standard errors in parentheses																																																							
*** p<0.01, ** p<0.05, * p<0.1																																																							
