	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
pv_scie	-0.000193***	6.98e-05	-0.000154***	-0.00109***	-0.000667***	-0.000126***	-0.000519***	-0.000283***	-0.00123***	-0.000861***	-0.000337***	-0.000417***	1.01e-05	-0.00187***	-0.000151	-3.63e-05	-0.000212***	0.000533***	-0.000597***	-0.000126	-0.000485***	1.43e-05	-0.000160*	-0.000799***	0.000167**	0.000101*	-0.000152**	-0.000452***	-0.000203***	1.34e-05	-0.000203**	-0.000697***	-0.00107***	9.50e-05	-4.62e-05	9.01e-05	-0.00117***	0.000542***	-0.000574***	-0.00105***	-9.29e-05	-0.000226***	-0.000623***	1.49e-07	-0.000222***	0.000222***	-0.000546***	-0.000747***	-0.00122***	-0.000963***	-0.000263***	-0.000405***	-0.000807***	-5.57e-05	-0.000180***
	(4.13e-05)	(5.62e-05)	(5.62e-05)	(7.04e-05)	(7.59e-05)	(4.84e-05)	(7.41e-05)	(5.71e-05)	(8.05e-05)	(9.40e-05)	(7.61e-05)	(5.84e-05)	(8.22e-05)	(0.000152)	(9.39e-05)	(6.24e-05)	(6.26e-05)	(9.50e-05)	(8.68e-05)	(7.99e-05)	(8.12e-05)	(9.32e-05)	(8.54e-05)	(6.78e-05)	(7.95e-05)	(5.93e-05)	(6.56e-05)	(8.65e-05)	(7.44e-05)	(5.57e-05)	(0.000101)	(8.97e-05)	(7.49e-05)	(0.000100)	(7.92e-05)	(8.21e-05)	(9.04e-05)	(8.83e-05)	(7.97e-05)	(5.08e-05)	(0.000108)	(6.49e-05)	(7.46e-05)	(7.39e-05)	(6.79e-05)	(6.82e-05)	(8.87e-05)	(7.15e-05)	(0.000126)	(7.98e-05)	(6.57e-05)	(5.73e-05)	(7.15e-05)	(9.53e-05)	(4.15e-05)
urban_dummy	0.0254***	0.0116	0.0157	-0.0127	0.00966	-0.00416	-0.0119	-0.00334	0.000878	-0.00552	0.00831	-0.0225***	0.0180	-0.0250	0.00730	0.00919	0.00689	-0.0434**	-0.0137		-0.0161	-0.0290*	0.0128	-0.0118	-0.00485	0.00352	0.00609	0.0107	0.0105	-0.0215**	-0.0698	0.00622	0.0123	-0.0362*	-0.000840	-0.000948	-0.00355	0.0155	-0.0233*	0.00289	0.000242		-0.0117	0.0388***	-0.00368	-2.15e-06	-0.0256	-0.0516***	-0.00760	-0.00803	0.0231*	0.00136	0.0182	-0.0374**	-8.32e-05
	(0.00764)	(0.0162)	(0.0118)	(0.0119)	(0.0152)	(0.00804)	(0.0119)	(0.00890)	(0.0120)	(0.0149)	(0.00915)	(0.00792)	(0.0160)	(0.0216)	(0.0153)	(0.0117)	(0.0114)	(0.0181)	(0.0112)		(0.0123)	(0.0160)	(0.0130)	(0.0141)	(0.0141)	(0.0134)	(0.0181)	(0.0158)	(0.0108)	(0.00973)	(0.118)	(0.0120)	(0.0110)	(0.0214)	(0.0142)	(0.0167)	(0.0128)	(0.0179)	(0.0125)	(0.00933)	(0.0136)		(0.0212)	(0.0144)	(0.0108)	(0.0175)	(0.0225)	(0.0146)	(0.0196)	(0.0122)	(0.0129)	(0.0127)	(0.0150)	(0.0181)	(0.00667)
o.urban_dummy																				-																						-													
																																																							
Constant	0.220***	0.0893***	0.238***	0.682***	0.578***	0.213***	0.351***	0.326***	0.692***	0.524***	0.288***	0.307***	0.164***	0.993***	0.340***	0.139***	0.242***	-0.0443	0.455***	0.239***	0.394***	0.176***	0.285***	0.579***	0.104***	0.170***	0.278***	0.392***	0.256***	0.152***	0.439***	0.411***	0.702***	0.249***	0.172***	0.177***	0.634***	0.0238	0.484***	0.793***	0.317***	0.296***	0.454***	0.135***	0.294***	0.0609*	0.519***	0.684***	0.738***	0.548***	0.290***	0.386***	0.521***	0.477***	0.270***
	(0.0213)	(0.0293)	(0.0311)	(0.0308)	(0.0351)	(0.0261)	(0.0366)	(0.0304)	(0.0356)	(0.0414)	(0.0382)	(0.0315)	(0.0424)	(0.0537)	(0.0503)	(0.0331)	(0.0325)	(0.0492)	(0.0421)	(0.0419)	(0.0423)	(0.0444)	(0.0420)	(0.0355)	(0.0393)	(0.0336)	(0.0386)	(0.0433)	(0.0357)	(0.0272)	(0.120)	(0.0402)	(0.0340)	(0.0534)	(0.0400)	(0.0416)	(0.0401)	(0.0446)	(0.0412)	(0.0224)	(0.0515)	(0.0373)	(0.0379)	(0.0386)	(0.0355)	(0.0330)	(0.0380)	(0.0356)	(0.0504)	(0.0383)	(0.0344)	(0.0305)	(0.0319)	(0.0440)	(0.0216)
