	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
st093q04ta_binary_pv_scie	0.996***	0.996***	0.996***	0.992***	0.995***	0.996***	0.992***	0.997***	0.991***	0.994***	0.995***	0.995***	1.000***	0.991***	0.996***	0.998***	0.995***	0.998***	0.994***	0.996***	0.997***	0.998***	0.997***	0.995***	0.997***	0.998***	0.998***	0.994***	0.997***	0.996***	0.998***	0.993***	0.993***	0.997***	0.996***	0.998***	0.991***	0.996***	0.995***	0.995***	0.999***	0.996***	0.994***	0.997***	0.997***	0.996***	0.997***	0.996***	0.991***	0.992***	0.996***	0.995***	0.993***	1.001***	0.997***
	(0.000401)	(0.000727)	(0.000464)	(0.000473)	(0.000392)	(0.000424)	(0.000781)	(0.000352)	(0.000664)	(0.000693)	(0.000636)	(0.000815)	(0.000675)	(0.000765)	(0.000415)	(0.000533)	(0.000607)	(0.000820)	(0.000495)	(0.000485)	(0.000531)	(0.000871)	(0.000494)	(0.000489)	(0.000595)	(0.000366)	(0.000385)	(0.000684)	(0.000486)	(0.000645)	(0.000472)	(0.000742)	(0.000486)	(0.000473)	(0.000644)	(0.000467)	(0.000643)	(0.000558)	(0.000518)	(0.000267)	(0.000497)	(0.000509)	(0.000596)	(0.000591)	(0.000494)	(0.000714)	(0.000431)	(0.000251)	(0.000909)	(0.000706)	(0.000536)	(0.000468)	(0.000585)	(0.000316)	(0.000300)
st093q04ta_binary_urban_du_y	1.108***	1.135***	1.156***	1.012***	1.016***	1.045***	0.820***	0.983***	1.045***	0.963***	1.112***	0.854***	1.187***	0.808***	0.839***	1.054***	1.086***	1.026***	0.919***		0.985***	0.749***	1.008***	0.869***	0.962***	1.212***	1.074***	1.729***	1.017***	1.070***	1.170	1.073***	1.010***	0.814***	1.137***	1.024***	1.122***	0.954***	0.912***	0.986***	0.875***		0.802***	0.960***	0.983***	0.945***	0.848***	0.787***	0.842***	0.884***	1.191***	1.227***	1.258***	0.865***	1.018***
	(0.0995)	(0.163)	(0.104)	(0.0788)	(0.0832)	(0.0841)	(0.101)	(0.0673)	(0.0904)	(0.112)	(0.125)	(0.117)	(0.194)	(0.0840)	(0.0703)	(0.104)	(0.120)	(0.195)	(0.0786)		(0.0886)	(0.114)	(0.0767)	(0.0840)	(0.110)	(0.0978)	(0.0892)	(0.195)	(0.0760)	(0.109)	(0.877)	(0.122)	(0.0679)	(0.0738)	(0.146)	(0.101)	(0.113)	(0.116)	(0.0857)	(0.0451)	(0.0638)		(0.144)	(0.123)	(0.0878)	(0.145)	(0.0987)	(0.0557)	(0.0859)	(0.0904)	(0.130)	(0.101)	(0.124)	(0.0717)	(0.0460)
st093q04ta_binary__cons	0.744***	0.495***	0.903***	6.779***	3.271***	0.944***	4.259***	0.908***	9.885***	2.809***	1.363***	0.990**	0.132***	11.72***	2.132***	0.239***	1.142***	0.255**	3.424***	1.287***	1.108***	0.325**	0.902***	2.963***	0.661***	0.643***	0.906***	2.374***	0.687***	0.782***	0.891	3.104***	5.730***	1.374***	1.058***	0.590***	9.042***	1.418***	2.699***	4.456***	0.682***	1.170***	3.146***	0.546***	1.030***	0.666***	2.456***	3.664***	8.965***	5.570***	1.155***	2.156***	4.546***	0.794***	1.049***
	(0.141)	(0.179)	(0.219)	(1.295)	(0.560)	(0.212)	(1.450)	(0.160)	(2.609)	(0.815)	(0.423)	(0.396)	(0.0466)	(3.028)	(0.478)	(0.0701)	(0.331)	(0.105)	(0.796)	(0.318)	(0.279)	(0.135)	(0.210)	(0.729)	(0.202)	(0.135)	(0.185)	(0.794)	(0.157)	(0.234)	(0.617)	(0.926)	(1.148)	(0.348)	(0.346)	(0.138)	(2.345)	(0.378)	(0.651)	(0.497)	(0.160)	(0.327)	(0.820)	(0.176)	(0.244)	(0.237)	(0.439)	(0.439)	(3.272)	(1.677)	(0.295)	(0.493)	(1.116)	(0.127)	(0.149)
o.st093q04ta_binary_urban_du_y																				0																						0													
																				(0)																						(0)													
																																																							
Observations	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Standard errors in parentheses																																																							
*** p<0.01, ** p<0.05, * p<0.1																																																							
