	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
st093q06ta_binary_pv_scie	0.998***	1.001***	0.999***	0.993***	0.997***	0.999***	0.994***	0.998***	0.991***	0.993***	0.997***	0.995***	1.000***	0.991***	0.999***	1.000***	0.998***	1.003***	0.996***	0.999***	0.996***	1.000***	0.999***	0.995***	1.001***	1.001***	0.999***	0.997***	0.999***	1.000***	0.999***	0.993***	0.994***	1.000***	1.000***	1.001***	0.990***	1.003***	0.996***	0.995***	1.000***	0.998***	0.995***	1.000***	0.999***	1.002***	0.997***	0.996***	0.993***	0.991***	0.998***	0.997***	0.994***	1.000***	0.999***
	(0.000353)	(0.000502)	(0.000399)	(0.000474)	(0.000391)	(0.000392)	(0.000739)	(0.000390)	(0.000691)	(0.000759)	(0.000670)	(0.000699)	(0.000575)	(0.000902)	(0.000485)	(0.000581)	(0.000525)	(0.000584)	(0.000600)	(0.000555)	(0.000612)	(0.000655)	(0.000521)	(0.000453)	(0.000534)	(0.000339)	(0.000405)	(0.000636)	(0.000552)	(0.000441)	(0.000516)	(0.000852)	(0.000436)	(0.000491)	(0.000631)	(0.000476)	(0.000724)	(0.000429)	(0.000521)	(0.000257)	(0.000545)	(0.000449)	(0.000559)	(0.000597)	(0.000453)	(0.000472)	(0.000462)	(0.000357)	(0.000744)	(0.000753)	(0.000499)	(0.000398)	(0.000600)	(0.000389)	(0.000279)
st093q06ta_binary_urban_du_y	1.244***	1.108***	1.118***	0.920***	1.050***	0.967***	0.891***	0.976***	1.014***	0.959***	1.077***	0.730***	1.131***	0.862***	1.038***	1.088***	1.059***	0.768***	0.907***		0.881***	0.813***	1.080***	0.928***	0.968***	1.020***	1.038***	1.079***	1.080***	0.843***	0.724*	1.068***	1.066***	0.836***	0.993***	0.994***	0.973***	1.075***	0.845***	1.009***	1.001***		0.900***	1.348***	0.975***	0.999***	0.874***	0.788***	0.944***	0.959***	1.180***	1.007***	1.133***	0.858***	0.999***
	(0.0855)	(0.158)	(0.0922)	(0.0665)	(0.0825)	(0.0636)	(0.109)	(0.0602)	(0.0903)	(0.109)	(0.0885)	(0.0837)	(0.120)	(0.0947)	(0.0817)	(0.115)	(0.101)	(0.0881)	(0.0752)		(0.0858)	(0.0959)	(0.0830)	(0.0872)	(0.0909)	(0.0794)	(0.118)	(0.124)	(0.0862)	(0.0651)	(0.391)	(0.122)	(0.0637)	(0.0925)	(0.112)	(0.0958)	(0.116)	(0.0898)	(0.0776)	(0.0437)	(0.0686)		(0.169)	(0.140)	(0.0714)	(0.121)	(0.103)	(0.0517)	(0.105)	(0.104)	(0.107)	(0.0858)	(0.123)	(0.0633)	(0.0455)
st093q06ta_binary__cons	0.314***	0.104***	0.335***	4.760***	1.750***	0.294***	1.484***	0.595***	9.973***	3.173***	0.606***	1.311***	0.197***	13.32***	0.534***	0.163***	0.380***	0.0577***	1.445***	0.332***	1.130***	0.214***	0.419***	2.909***	0.132***	0.212***	0.404***	0.965***	0.386***	0.179***	0.853*	2.160***	3.949***	0.335***	0.211***	0.221***	8.867***	0.113***	1.560***	4.231***	0.470***	0.493***	1.691***	0.156***	0.469***	0.0947***	1.293***	2.631***	4.949***	7.051***	0.498***	0.870***	2.754***	0.913***	0.402***
	(0.0552)	(0.0279)	(0.0730)	(0.902)	(0.302)	(0.0620)	(0.481)	(0.117)	(2.574)	(1.001)	(0.196)	(0.450)	(0.0590)	(4.086)	(0.139)	(0.0506)	(0.103)	(0.0186)	(0.393)	(0.0932)	(0.341)	(0.0689)	(0.109)	(0.633)	(0.0375)	(0.0416)	(0.0963)	(0.302)	(0.102)	(0.0396)	(0.501)	(0.805)	(0.733)	(0.0899)	(0.0699)	(0.0548)	(2.520)	(0.0248)	(0.378)	(0.449)	(0.124)	(0.129)	(0.441)	(0.0500)	(0.111)	(0.0218)	(0.251)	(0.456)	(1.485)	(2.169)	(0.123)	(0.176)	(0.694)	(0.164)	(0.0584)
o.st093q06ta_binary_urban_du_y																				0																						0													
																				(0)																						(0)													
																																																							
Observations	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
Standard errors in parentheses																																																							
*** p<0.01, ** p<0.05, * p<0.1																																																							
