	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)	(46)	(47)	(48)	(49)	(50)	(51)	(52)	(53)	(54)	(55)
VARIABLES	Australia	Austria	Belgium	Brazil	Bulgaria	Canada	Chile	Chinese Taipei	Colombia	Costa Rica	Croatia	Czech Republic	Denmark	Dominican Republic	Estonia	Finland	France	Germany	Greece	Hong Kong	Hungary	Iceland	Ireland	Israel	Italy	Japan	Korea	Latvia	Lithuania	Luxembourg	Macao	Mexico	Montenegro	Netherlands	New Zealand	Norway	Peru	Poland	Portugal	Qatar	Russian Federation	Singapore	Slovak Republic	Slovenia	Spain	Switzerland	Thailand	United Arab Emirates	Tunisia	Turkey	United Kingdom	United States	Uruguay	B-S-J-G (China)	Spain (Regions)
																																																							
pv_scie	-0.000398***	-0.000176***	-0.000545***	-0.00144***	-0.000983***	-0.000377***	-0.000805***	-0.000490***	-0.00181***	-0.00109***	-0.000477***	-0.000442***	-0.000227***	-0.00207***	-0.000486***	-0.000128**	-0.000533***	8.84e-05	-0.00106***	-0.000424***	-0.000461***	-0.000243***	-0.000295***	-0.000696***	-0.000421***	-0.000163***	-0.000518***	-0.000666***	-0.000465***	-0.000213***	-0.000341***	-0.00110***	-0.00129***	-0.000278***	-0.000367***	-0.000368***	-0.00156***	-0.000346***	-0.000373***	-0.00141***	-0.000393***	-0.000500***	-0.000940***	-4.56e-05	-0.000551***	-0.000288***	-0.00107***	-0.00106***	-0.00142***	-0.00125***	-0.000401***	-0.000512***	-0.00140***	7.33e-05	-0.000605***
	(3.92e-05)	(6.30e-05)	(5.31e-05)	(6.39e-05)	(7.25e-05)	(4.88e-05)	(7.76e-05)	(5.72e-05)	(8.60e-05)	(9.69e-05)	(6.95e-05)	(6.11e-05)	(6.93e-05)	(0.000147)	(7.71e-05)	(5.44e-05)	(5.70e-05)	(7.28e-05)	(8.31e-05)	(7.96e-05)	(8.71e-05)	(8.53e-05)	(7.37e-05)	(8.49e-05)	(8.13e-05)	(6.30e-05)	(7.06e-05)	(8.87e-05)	(7.39e-05)	(4.99e-05)	(9.53e-05)	(9.79e-05)	(8.50e-05)	(9.84e-05)	(6.73e-05)	(7.27e-05)	(9.30e-05)	(8.30e-05)	(7.69e-05)	(5.21e-05)	(0.000107)	(7.98e-05)	(6.67e-05)	(7.47e-05)	(7.47e-05)	(6.94e-05)	(0.000101)	(7.12e-05)	(0.000131)	(7.38e-05)	(6.38e-05)	(6.78e-05)	(7.53e-05)	(7.95e-05)	(4.52e-05)
urban_dummy	0.0132	0.0205	0.00801	-0.00663	-0.0107	0.00679	-0.0190	-0.00506	-0.0144	-0.0132	-0.0214**	-0.0106	0.0147	-0.0304	0.00835	0.0142	0.00465	0.000215	-0.0223*		-0.0246	-0.0278**	0.00410	0.00275	0.0187	0.0127	0.0261	0.0405***	0.00277	-0.0122	-0.0237	0.00449	0.0307**	-0.0444***	0.00777	0.0160	-0.00849	-0.0362**	-0.00566	-0.00227	-0.00618		-0.0242	0.00474	-0.00575	-0.0190	-0.0773***	-0.100***	-0.00875	-0.00132	0.0266**	0.0128	0.00191	-0.0119	0.00334
	(0.00903)	(0.0133)	(0.0114)	(0.0116)	(0.0137)	(0.00758)	(0.0116)	(0.00993)	(0.0148)	(0.0171)	(0.00966)	(0.00984)	(0.0213)	(0.0260)	(0.0135)	(0.0132)	(0.00852)	(0.0169)	(0.0124)		(0.0161)	(0.0118)	(0.0118)	(0.0173)	(0.0136)	(0.0149)	(0.0164)	(0.0144)	(0.00926)	(0.0102)	(0.103)	(0.0127)	(0.0127)	(0.0159)	(0.0133)	(0.0123)	(0.0154)	(0.0155)	(0.0135)	(0.00942)	(0.0164)		(0.0205)	(0.0137)	(0.0107)	(0.0129)	(0.0258)	(0.0167)	(0.0186)	(0.0122)	(0.0135)	(0.0140)	(0.0116)	(0.0180)	(0.00649)
o.urban_dummy																				-																						-													
																																																							
Constant	0.316***	0.215***	0.418***	0.853***	0.774***	0.326***	0.494***	0.435***	1.006***	0.648***	0.365***	0.325***	0.242***	1.122***	0.520***	0.176***	0.374***	0.103***	0.712***	0.401***	0.439***	0.252***	0.337***	0.594***	0.392***	0.325***	0.478***	0.482***	0.399***	0.242***	0.448***	0.605***	0.833***	0.476***	0.297***	0.397***	0.856***	0.415***	0.430***	1.011***	0.475***	0.434***	0.623***	0.194***	0.465***	0.275***	0.820***	0.949***	0.804***	0.719***	0.345***	0.445***	0.833***	0.501***	0.491***
	(0.0207)	(0.0319)	(0.0292)	(0.0272)	(0.0345)	(0.0265)	(0.0366)	(0.0306)	(0.0410)	(0.0438)	(0.0352)	(0.0325)	(0.0364)	(0.0508)	(0.0427)	(0.0301)	(0.0315)	(0.0382)	(0.0401)	(0.0421)	(0.0443)	(0.0428)	(0.0369)	(0.0431)	(0.0399)	(0.0372)	(0.0393)	(0.0452)	(0.0368)	(0.0249)	(0.108)	(0.0445)	(0.0363)	(0.0527)	(0.0373)	(0.0372)	(0.0403)	(0.0431)	(0.0394)	(0.0232)	(0.0503)	(0.0470)	(0.0340)	(0.0397)	(0.0393)	(0.0372)	(0.0434)	(0.0328)	(0.0539)	(0.0346)	(0.0351)	(0.0351)	(0.0339)	(0.0399)	(0.0234)
